Time,X1,Y1,X2,Y2,Energy
0,1.3621e-21,0,6.99999e+06,7500,-2.88163e+10
1,4.08631e-21,1.4594e-24,6.99998e+06,15000,-2.88163e+10
2,8.17261e-21,5.83759e-24,6.99995e+06,22500,-2.88163e+10
3,1.3621e-20,1.4594e-23,6.99992e+06,29999.9,-2.88163e+10
4,2.04315e-20,2.9188e-23,6.99988e+06,37499.8,-2.88163e+10
5,2.86041e-20,5.1079e-23,6.99983e+06,44999.7,-2.88163e+10
6,3.81388e-20,8.17264e-23,6.99977e+06,52499.5,-2.88163e+10
7,4.90356e-20,1.2259e-22,6.99971e+06,59999.3,-2.88163e+10
8,6.12944e-20,1.75128e-22,6.99963e+06,67499,-2.88163e+10
9,7.49152e-20,2.40801e-22,6.99955e+06,74998.6,-2.88163e+10
10,8.98982e-20,3.21068e-22,6.99946e+06,82498.1,-2.88163e+10
11,1.06243e-19,4.17388e-22,6.99937e+06,89997.5,-2.88163e+10
12,1.2395e-19,5.31221e-22,6.99926e+06,97496.8,-2.88163e+10
13,1.43019e-19,6.64026e-22,6.99915e+06,104996,-2.88163e+10
14,1.6345e-19,8.17263e-22,6.99902e+06,112495,-2.88163e+10
15,1.85243e-19,9.9239e-22,6.99889e+06,119994,-2.88163e+10
16,2.08398e-19,1.19087e-21,6.99876e+06,127493,-2.88163e+10
17,2.32914e-19,1.41415e-21,6.99861e+06,134992,-2.88163e+10
18,2.58793e-19,1.66371e-21,6.99845e+06,142490,-2.88163e+10
19,2.86033e-19,1.94099e-21,6.99829e+06,149988,-2.88163e+10
20,3.14636e-19,2.24746e-21,6.99812e+06,157487,-2.88163e+10
21,3.446e-19,2.58457e-21,6.99794e+06,164985,-2.88163e+10
22,3.75926e-19,2.95379e-21,6.99775e+06,172482,-2.88163e+10
23,4.08613e-19,3.35658e-21,6.99756e+06,179980,-2.88163e+10
24,4.42662e-19,3.79439e-21,6.99736e+06,187477,-2.88163e+10
25,4.78073e-19,4.26868e-21,6.99714e+06,194975,-2.88163e+10
26,5.14846e-19,4.78091e-21,6.99693e+06,202471,-2.88163e+10
27,5.5298e-19,5.33254e-21,6.9967e+06,209968,-2.88163e+10
28,5.92476e-19,5.92504e-21,6.99646e+06,217465,-2.88163e+10
29,6.33333e-19,6.55985e-21,6.99622e+06,224961,-2.88163e+10
30,6.75552e-19,7.23844e-21,6.99597e+06,232457,-2.88163e+10
31,7.19132e-19,7.96226e-21,6.99571e+06,239952,-2.88163e+10
32,7.64073e-19,8.73278e-21,6.99544e+06,247448,-2.88163e+10
